,ADDITIONAL DESCRIPTION
0,"1. (Individual) 
- (Salaried)
- (TRI) below Rs. 10 lakh
- in the area of Municipal wards of Agra Nagar Nigam, Agra: 1, 2, 3, 4, 6, 11, 13, 14, 15,16, 18, 20, 21, 22, 23, 24, 26, 27, 29, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 52, 53, 55, 57, 58, 60, 64, 65, 68, 70, 71, 72, 74 78
- First name begin with the alphabet from 'A' to 'F'

2. (Individual)  
- (Non-Salaried) 
- Income from Legal, medical, engineering or architectural profession or the profession of accountancy or technical consultancy or interior decoration or any other profession and Business of transportation
- (TRI) below Rs. 10 lakh
- having principal place of business or profession is within the territorial area of Municipal wards of Agra Nagar Nigam, Agra: 1, 2, 3, 4, 6, 11, 13, 14, 15,16, 18, 20, 21, 22, 23, 24, 26, 27, 29, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 52, 53, 55, 57, 58, 60, 64, 65, 68, 70, 71, 72, 74 78
- First name begin with the alphabet from 'A' to 'F'

3. (Company) 
- (TRI) below Rs. 15 lakh
- having its registered office or principal place of business in the Districts of Agra
- First name begin with the alphabet from 'A' to 'F'

4. (Individual) 
- (Salaried)
- (TRI) below Rs. 10 lakh
-(Non-Salaried)
- in the area of (a) Municipal wards of Agra Nagar Nigam, Agra: 5, 12, 17, 19, 25, 28, 30, 31, 36, 44, 51, 54, 56, 59, 61, 62, 63, 66, 67, 73, 75, 76, 77, 79, 80
(b) District of Agra not covered under the jurisdiction of Pr. CIT/CIT-I, Agra
- First name begin with the alphabet from 'A' to 'F'

5. (Individual)  
- (Non-Salaried) 
- (TRI) below Rs. 10 lakh
- having principal place of business or profession is within the territorial area of (a) Municipal wards of Agra Nagar Nigam, Agra: 5, 12, 17, 19, 25, 28, 30, 31, 36, 44, 51, 54, 56, 59, 61, 62, 63, 66, 67, 73, 75, 76, 77, 79, 80
(b) District of Agra not covered under the jurisdiction of Pr. CIT/CIT-I, Agra
- First name begin with the alphabet from 'A' to 'F'
"
3,"1. (Individual) 
- (Salaried)
- Total income of Rs. 10 lakh & above
- (Non-Salaried)
- in the arae of Municipal wards of Agra Nagar Nigam, Agra:
3, 6, 7, 9, 10, 15, 16, 20, 21, 22, 24, 26, 29, 33, 35, 37, 40, 41, 45, 46, 47, 48, 50, 52, 53, 55, 60, 65, 68, 70, 78 
- name begin with the alphabet from A to Z

2. (Individual)  
- (Non-Salaried) 
- Income from business & profession excluding income from Legal, medical, engineering or architectural profession or the profession of accountancy or technical consultancy or interior decoration or any other profession (iii) Business of transportation
- (Non-Salaried)
- Total income of Rs. 10 lakh & above
- having principal place of business or profession is within the territorial area of Municipal wards of Agra Nagar Nigam, Agra:
3, 6, 7, 9, 10, 15, 16, 20, 21, 22, 24, 26, 29, 33, 35, 37, 40, 41, 45, 46, 47, 48, 50, 52, 53, 55, 60, 65, 68, 70, 78 
- name begin with the alphabet from A to Z

3.(Salaried)
- other than Central & State Government, Bank & LIC
- residing within the area of District of Agra

4. (Individual) 
- (Salaried)
- Total income of Rs. 10 lakh & above
- In the area of District of Auraiya
- name begin with the alphabet from A to Z

5. (Individual)  
- (Non-Salaried) 
- Total income of Rs. 10 lakh & above
- having principal place of business or profession is within the territorial area of District of Auraiya
- name begin with the alphabet from A to z

6. (Company) 
- Total income of Rs. 15 lakh & above
- having its registered office or principal place of business in the area of District of Auraiya
- name begin with the alphabet from A to Z"
12,"1. (Individual) 
- (Salaried)
- Total income below Rs. 10 lakh 
- In the area of District of Auraiya
- First name begin with the alphabet from A to Z

2. (Individual)  
- (Non-Salaried) 
- Total income below Rs. 10 lakh 
- having principal place of business or profession is within the territorial area of District of Auraiya
- First name begin with the alphabet from A to Z

3. (Company) 
- income/loss below Rs. 15 lakh
- having its registered office or principal place of business in the  District of Auraiya
- First name begin with the alphabet from A to Z"
13,"1. (Individual) 
- (Salaried)
- within the territorial area of District of Aligarh

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Aligarh

3. (Company) 
- having its registered office or principal place of business in the area of District of Aligarh"
14,"1. (Individual) 
- (Salaried)
- within the territorial area of District of Aligarh
- name begin with the alphabet Q, S or T

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Aligarh
- name begin with the alphabet Q, S or T

3. (Company) 
- having its registered office or principal place of business in the area of District of Aligarh
- name begin with the alphabet Q, S or T"
15,"1. (Individual) 
- (Salaried)
- within the territorial area of District of Aligarh
- name begin with the alphabet G to K or V

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Aligarh
- name begin with the alphabet G to K or V

3. (Company) 
- having its registered office or principal place of business in the area of District of Aligarh
- name begin with the alphabet G to K or V"
16,"1. (Individual) 
- (Salaried)
- Total income below Rs. 10 lakh 
- In the area of Municipal wards of Agra Nagar Nigam, Agra:
3, 6, 7, 9, 10, 15, 16, 20, 21, 22, 24, 26, 29, 33, 35, 37, 40, 41, 45, 46, 47, 48, 50, 52, 53, 55, 60, 65, 68, 70, 78
- (Non-Salaried)
- name begin with the alphabet from A to G

2. (Individual)  
- (Non-Salaried) 
- Income from business & profession excluding Income from Legal, medical, engineering or architectural profession or the profession of accountancy or technical consultancy or interior decoration or any other profession & Business of transportation
- (Non-Salaried)
- Total income below Rs. 10 lakh 
- having principal place of business or profession is within the territorial area of Municipal wards of Agra Nagar Nigam, Agra:
3, 6, 7, 9, 10, 15, 16, 20, 21, 22, 24, 26, 29, 33, 35, 37, 40, 41, 45, 46, 47, 48, 50, 52, 53, 55, 60, 65, 68, 70, 78
- name begin with the alphabet from A to G

3.(Salaried)
- other than Central & State Government, Bank & LIC
- residing within the area of District of Agra
- Total income below Rs. 10 lakh 
"
17,"1. (Individual) 
- (Salaried)
- (TRI) of Rs. 10 lakh & above
- in the area of Municipal wards of Agra Nagar Nigam, Agra: 1, 2, 3, 4, 6, 11, 13, 14, 15,16, 18, 20, 21, 22, 23, 24, 26, 27, 29, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 52, 53, 55, 57, 58, 60, 64, 65, 68, 70, 71, 72, 74 78
- First name begin with the alphabet from 'A' to 'Z'

2. (Individual)  
- (Non-Salaried) 
- Income from Legal, medical, engineering or architectural profession or the profession of accountancy or technical consultancy or interior decoration or any other profession and Business of transportation
- (TRI) of Rs. 10 lakh & above
- having principal place of business or profession is within the territorial area of Municipal wards of Agra Nagar Nigam, Agra: 1, 2, 3, 4, 6, 11, 13, 14, 15,16, 18, 20, 21, 22, 23, 24, 26, 27, 29, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 52, 53, 55, 57, 58, 60, 64, 65, 68, 70, 71, 72, 74 78
- First name begin with the alphabet from 'A' to 'Z'

3. (Company) 
- (TRI) of Rs. 15 lakh & above
- having its registered office or principal place of business in the Districts of Agra
- First name begin with the alphabet from 'A' to 'Z'

4. (Individual) 
- (Salaried)
- Total income/loss of Rs. 10 lakh & above
- Excluding income from salary
- in the area of 
(a) Municipal wards of Agra Nagar Nigam, Agra: 5, 12, 17, 19, 25, 28, 30, 31, 36, 44, 51, 54, 56, 59, 61, 62, 63, 66, 67, 73, 75, 76, 77, 79, 80
(b) District of Agra not covered under the jurisdiction of Pr. CIT/CIT-I, Agra
- First name begin with the alphabet from 'A' to 'Z'

5. (Individual)  
- (Non-Salaried) 
- Total income/loss of Rs. 10 lakh & above
- having principal place of business or profession is within the territorial area of 
(a) Municipal wards of Agra Nagar Nigam, Agra: 5, 12, 17, 19, 25, 28, 30, 31, 36, 44, 51, 54, 56, 59, 61, 62, 63, 66, 67, 73, 75, 76, 77, 79, 80
(b) District of Agra not covered under the jurisdiction of Pr. CIT/CIT-I, Agra
- First name begin with the alphabet from 'A' to 'Z'
"
26,"All exemption cases of Agra, Mathura, Auraiya, Etawah, Firozabad, Lalitpur, Jhansi District having income upto Rs. 5 crores before claiming exemption"
28,DESIGNATED OFFICER
